월,일,요일,시간,구장,홈팀,홈점수,원정점수,원정팀,홈팀승리
03,22,토,14:00,잠실,롯데,2.0,12.0,LG,-1.0
03,22,토,14:00,문학,두산,5.0,6.0,SSG,-1.0
03,22,토,14:00,대구,키움,5.0,13.0,삼성,-1.0
03,22,토,14:00,수원,한화,4.0,3.0,KT,1.0
03,22,토,14:00,광주,NC,2.0,9.0,KIA,-1.0
03,23,일,14:00,잠실,롯데,2.0,10.0,LG,-1.0
03,23,일,14:00,문학,두산,2.0,5.0,SSG,-1.0
03,23,일,14:00,대구,키움,7.0,11.0,삼성,-1.0
03,23,일,14:00,수원,한화,4.0,5.0,KT,-1.0
03,23,일,14:00,광주,NC,5.0,4.0,KIA,1.0
03,25,화,18:30,잠실,한화,0.0,5.0,LG,-1.0
03,25,화,18:30,문학,롯데,3.0,2.0,SSG,1.0
03,25,화,18:30,대구,NC,5.0,14.0,삼성,-1.0
03,25,화,18:30,수원,두산,3.0,8.0,KT,-1.0
03,25,화,18:30,광주,키움,6.0,11.0,KIA,-1.0
03,26,수,18:30,잠실,한화,0.0,4.0,LG,-1.0
03,26,수,18:30,문학,롯데,1.0,3.0,SSG,-1.0
03,26,수,18:30,대구,NC,8.0,6.0,삼성,1.0
03,26,수,18:30,수원,두산,3.0,2.0,KT,1.0
03,26,수,18:30,광주,키움,17.0,10.0,KIA,1.0
03,27,목,18:30,잠실,한화,1.0,2.0,LG,-1.0
03,27,목,18:30,문학,롯데,2.0,5.0,SSG,-1.0
03,27,목,18:30,대구,NC,11.0,5.0,삼성,1.0
03,27,목,18:30,수원,두산,3.0,4.0,KT,-1.0
03,27,목,18:30,광주,키움,5.0,3.0,KIA,1.0
03,28,금,18:30,잠실,삼성,0.0,2.0,두산,-1.0
03,28,금,18:30,사직,KT,2.0,0.0,롯데,1.0
03,28,금,18:30,창원,LG,8.0,4.0,NC,1.0
03,28,금,18:30,고척,SSG,3.0,9.0,키움,-1.0
03,28,금,18:30,대전(신),KIA,2.0,7.0,한화,-1.0
03,29,토,14:00,고척,SSG,1.0,3.0,키움,-1.0
03,29,토,14:00,대전(신),KIA,4.0,5.0,한화,-1.0
03,29,토,17:00,잠실,삼성,13.0,2.0,두산,1.0
03,29,토,17:00,사직,KT,1.0,3.0,롯데,-1.0
03,29,토,17:00,창원,LG,14.0,4.0,NC,1.0
03,30,일,14:00,잠실,삼성,3.0,2.0,두산,1.0
03,30,일,14:00,사직,KT,4.0,4.0,롯데,0.0
03,30,일,14:00,고척,SSG,8.0,2.0,키움,1.0
03,30,일,14:00,대전(신),KIA,5.0,3.0,한화,1.0
04,02,수,18:30,잠실,키움,3.0,5.0,두산,-1.0
04,02,수,18:30,수원,LG,5.0,9.0,KT,-1.0
04,02,수,18:30,광주,삼성,4.0,2.0,KIA,1.0
04,02,수,18:30,대전(신),롯데,6.0,2.0,한화,1.0
04,03,목,18:30,잠실,키움,1.0,6.0,두산,-1.0
04,03,목,18:30,수원,LG,5.0,1.0,KT,1.0
04,03,목,18:30,광주,삼성,1.0,3.0,KIA,-1.0
04,03,목,18:30,대전(신),롯데,4.0,2.0,한화,1.0
04,04,금,18:30,잠실,KIA,2.0,8.0,LG,-1.0
04,04,금,18:30,문학,KT,2.0,3.0,SSG,-1.0
04,04,금,18:30,사직,두산,15.0,3.0,롯데,1.0
04,04,금,18:30,대구,한화,0.0,5.0,삼성,-1.0
04,04,금,18:30,고척,NC,1.0,5.0,키움,-1.0
04,05,토,14:00,대구,한화,7.0,6.0,삼성,1.0
04,05,토,17:00,사직,두산,1.0,6.0,롯데,-1.0
04,05,토,17:00,고척,NC,7.0,5.0,키움,1.0
04,06,일,14:00,잠실,KIA,1.0,5.0,LG,-1.0
04,06,일,14:00,문학,KT,0.0,1.0,SSG,-1.0
04,06,일,14:00,사직,두산,15.0,12.0,롯데,1.0
04,06,일,14:00,대구,한화,0.0,10.0,삼성,-1.0
04,06,일,14:00,고척,NC,8.0,2.0,키움,1.0
04,08,화,18:30,잠실,한화,5.0,6.0,두산,-1.0
04,08,화,18:30,사직,KIA,5.0,4.0,롯데,1.0
04,08,화,18:30,대구,SSG,3.0,7.0,삼성,-1.0
04,08,화,18:30,수원,NC,2.0,3.0,KT,-1.0
04,08,화,18:30,고척,LG,13.0,1.0,키움,1.0
04,09,수,18:30,잠실,한화,5.0,4.0,두산,1.0
04,09,수,18:30,사직,KIA,3.0,1.0,롯데,1.0
04,09,수,18:30,대구,SSG,3.0,1.0,삼성,1.0
04,09,수,18:30,수원,NC,1.0,4.0,KT,-1.0
04,09,수,18:30,고척,LG,0.0,4.0,키움,-1.0
04,10,목,18:30,잠실,한화,7.0,2.0,두산,1.0
04,10,목,18:30,사직,KIA,3.0,8.0,롯데,-1.0
04,10,목,18:30,대구,SSG,2.0,3.0,삼성,-1.0
04,10,목,18:30,수원,NC,7.0,0.0,KT,1.0
04,10,목,18:30,고척,LG,7.0,3.0,키움,1.0
04,11,금,18:30,잠실,두산,2.0,5.0,LG,-1.0
04,11,금,18:30,사직,롯데,7.0,5.0,NC,1.0
04,11,금,18:30,수원,삼성,3.0,5.0,KT,-1.0
04,11,금,18:30,광주,SSG,9.0,3.0,KIA,1.0
04,11,금,18:30,대전(신),키움,2.0,12.0,한화,-1.0
04,12,토,14:00,잠실,두산,0.0,4.0,LG,-1.0
04,12,토,17:00,사직,롯데,2.0,0.0,NC,1.0
04,12,토,17:00,대전(신),키움,6.0,2.0,한화,1.0
04,13,일,14:00,잠실,두산,9.0,2.0,LG,1.0
04,13,일,14:00,사직,롯데,6.0,9.0,NC,-1.0
04,13,일,14:00,수원,삼성,5.0,6.0,KT,-1.0
04,13,일,14:00,광주,SSG,5.0,11.0,KIA,-1.0
04,13,일,14:00,대전(신),키움,1.0,7.0,한화,-1.0
04,15,화,18:30,잠실,삼성,0.0,3.0,LG,-1.0
04,15,화,18:30,문학,한화,2.0,0.0,SSG,1.0
04,15,화,18:30,사직,키움,6.0,8.0,롯데,-1.0
04,15,화,18:30,광주,KT,0.0,1.0,KIA,-1.0
04,16,수,18:30,잠실,삼성,2.0,12.0,LG,-1.0
04,16,수,18:30,문학,한화,10.0,4.0,SSG,1.0
04,16,수,18:30,사직,키움,4.0,6.0,롯데,-1.0
04,16,수,18:30,광주,KT,3.0,0.0,KIA,1.0
04,17,목,18:30,잠실,삼성,6.0,3.0,LG,1.0
04,17,목,18:30,문학,한화,4.0,2.0,SSG,1.0
04,17,목,18:30,사직,키움,1.0,7.0,롯데,-1.0
04,17,목,18:30,광주,KT,4.0,5.0,KIA,-1.0
04,18,금,18:30,잠실,KIA,1.0,7.0,두산,-1.0
04,18,금,18:30,문학,LG,5.0,1.0,SSG,1.0
04,18,금,18:30,대구,롯데,8.0,1.0,삼성,1.0
04,18,금,18:30,고척,KT,3.0,4.0,키움,-1.0
04,18,금,18:30,대전(신),NC,4.0,12.0,한화,-1.0
04,19,토,14:00,잠실,KIA,8.0,4.0,두산,1.0
04,19,토,14:00,문학,LG,11.0,4.0,SSG,1.0
04,19,토,17:00,대구,롯데,3.0,10.0,삼성,-1.0
04,19,토,17:00,고척,KT,11.0,1.0,키움,1.0
04,19,토,17:00,대전(신),NC,2.0,7.0,한화,-1.0
04,20,일,14:00,잠실,KIA,6.0,2.0,두산,1.0
04,20,일,14:00,문학,LG,3.0,9.0,SSG,-1.0
04,20,일,14:00,대구,롯데,4.0,3.0,삼성,1.0
04,20,일,14:00,고척,KT,5.0,0.0,키움,1.0
04,20,일,14:00,대전(신),NC,1.0,7.0,한화,-1.0
04,22,화,18:30,잠실,NC,6.0,5.0,LG,1.0
04,22,화,18:30,수원,SSG,3.0,9.0,KT,-1.0
04,22,화,18:30,고척,두산,4.0,5.0,키움,-1.0
04,23,수,18:30,잠실,NC,0.0,3.0,LG,-1.0
04,23,수,18:30,사직,한화,6.0,4.0,롯데,1.0
04,23,수,18:30,대구,KIA,2.0,7.0,삼성,-1.0
04,23,수,18:30,수원,SSG,11.0,5.0,KT,1.0
04,23,수,18:30,고척,두산,8.0,2.0,키움,1.0
04,24,목,18:30,잠실,NC,3.0,1.0,LG,1.0
04,24,목,18:30,사직,한화,3.0,5.0,롯데,-1.0
04,24,목,18:30,대구,KIA,5.0,17.0,삼성,-1.0
04,24,목,18:30,수원,SSG,6.0,5.0,KT,1.0
04,24,목,18:30,고척,두산,9.0,3.0,키움,1.0
04,25,금,18:30,잠실,롯데,8.0,2.0,두산,1.0
04,25,금,18:30,문학,키움,3.0,4.0,SSG,-1.0
04,25,금,18:30,대구,NC,6.0,10.0,삼성,-1.0
04,25,금,18:30,광주,LG,6.0,5.0,KIA,1.0
04,25,금,18:30,대전(신),KT,2.0,1.0,한화,1.0
04,26,토,14:00,잠실,롯데,7.0,4.0,두산,1.0
04,26,토,14:00,광주,LG,4.0,8.0,KIA,-1.0
04,26,토,17:00,문학,키움,2.0,1.0,SSG,1.0
04,26,토,17:00,대구,NC,1.0,9.0,삼성,-1.0
04,26,토,17:00,대전(신),KT,1.0,2.0,한화,-1.0
04,27,일,14:00,잠실,롯데,4.0,13.0,두산,-1.0
04,27,일,14:00,문학,키움,7.0,3.0,SSG,1.0
04,27,일,14:00,대구,NC,4.0,8.0,삼성,-1.0
04,27,일,14:00,광주,LG,2.0,3.0,KIA,-1.0
04,27,일,14:00,대전(신),KT,3.0,4.0,한화,-1.0
04,29,화,18:30,잠실,KT,3.0,2.0,두산,1.0
04,29,화,18:30,문학,삼성,3.0,1.0,SSG,1.0
04,29,화,18:30,광주,NC,3.0,13.0,KIA,-1.0
04,29,화,18:30,고척,롯데,9.0,3.0,키움,1.0
04,29,화,18:30,대전(신),LG,2.0,3.0,한화,-1.0
04,30,수,18:30,잠실,KT,8.0,3.0,두산,1.0
04,30,수,18:30,문학,삼성,6.0,6.0,SSG,0.0
04,30,수,18:30,광주,NC,7.0,0.0,KIA,1.0
04,30,수,18:30,고척,롯데,10.0,9.0,키움,1.0
04,30,수,18:30,대전(신),LG,2.0,5.0,한화,-1.0
05,01,목,18:30,잠실,KT,3.0,3.0,두산,0.0
05,01,목,18:30,문학,삼성,1.0,4.0,SSG,-1.0
05,01,목,18:30,고척,롯데,5.0,0.0,키움,1.0
05,02,금,18:30,잠실,SSG,2.0,1.0,LG,1.0
05,02,금,18:30,사직,NC,3.0,4.0,롯데,-1.0
05,02,금,18:30,대구,두산,2.0,6.0,삼성,-1.0
05,02,금,18:30,수원,키움,5.0,3.0,KT,1.0
05,02,금,18:30,광주,한화,3.0,2.0,KIA,1.0
05,03,토,17:00,잠실,SSG,1.0,4.0,LG,-1.0
05,03,토,17:00,사직,NC,13.0,4.0,롯데,1.0
05,03,토,17:00,대구,두산,6.0,1.0,삼성,1.0
05,03,토,17:00,수원,키움,0.0,9.0,KT,-1.0
05,04,일,14:00,잠실,SSG,4.0,12.0,LG,-1.0
05,04,일,14:00,사직,NC,9.0,6.0,롯데,1.0
05,04,일,14:00,대구,두산,11.0,6.0,삼성,1.0
05,04,일,14:00,수원,키움,4.0,5.0,KT,-1.0
05,04,일,14:00,광주,한화,3.0,1.0,KIA,1.0
05,05,월,14:00,잠실,LG,2.0,5.0,두산,-1.0
05,05,월,14:00,사직,SSG,7.0,1.0,롯데,1.0
05,05,월,14:00,수원,NC,6.0,2.0,KT,1.0
05,05,월,14:00,고척,KIA,13.0,1.0,키움,1.0
05,05,월,14:00,대전(신),삼성,1.0,3.0,한화,-1.0
05,06,화,14:00,잠실,LG,5.0,1.0,두산,1.0
05,06,화,14:00,사직,SSG,0.0,6.0,롯데,-1.0
05,06,화,14:00,수원,NC,6.0,3.0,KT,1.0
05,06,화,14:00,고척,KIA,5.0,3.0,키움,1.0
05,06,화,14:00,대전(신),삼성,1.0,3.0,한화,-1.0
05,07,수,18:30,잠실,LG,2.0,5.0,두산,-1.0
05,07,수,18:30,사직,SSG,2.0,6.0,롯데,-1.0
05,07,수,18:30,수원,NC,12.0,2.0,KT,1.0
05,07,수,18:30,고척,KIA,10.0,11.0,키움,-1.0
05,07,수,18:30,대전(신),삼성,6.0,10.0,한화,-1.0
05,09,금,18:30,고척,한화,7.0,5.0,키움,1.0
05,10,토,14:00,고척,한화,9.0,1.0,키움,1.0
05,10,토,14:00,대구,LG,5.0,4.0,삼성,1.0
05,10,토,17:00,잠실,NC,6.0,6.0,두산,0.0
05,10,토,17:00,문학,KIA,5.0,4.0,SSG,1.0
05,10,토,17:00,수원,롯데,8.0,5.0,KT,1.0
05,10,토,17:00,대구,LG,4.0,1.0,삼성,1.0
05,11,일,14:00,대구,LG,7.0,4.0,삼성,1.0
05,11,일,14:00,고척,한화,8.0,0.0,키움,1.0
05,11,일,14:00,잠실,NC,11.0,5.0,두산,1.0
05,11,일,14:00,문학,KIA,4.0,8.0,SSG,-1.0
05,11,일,14:00,수원,롯데,6.0,1.0,KT,1.0
05,11,일,17:00,잠실,NC,5.0,2.0,두산,1.0
05,11,일,17:00,문학,KIA,1.0,5.0,SSG,-1.0
05,11,일,17:00,수원,롯데,1.0,1.0,KT,0.0
05,13,화,18:30,잠실,키움,6.0,9.0,LG,-1.0
05,13,화,18:30,문학,NC,3.0,6.0,SSG,-1.0
05,13,화,18:30,광주,롯데,1.0,4.0,KIA,-1.0
05,13,화,18:30,대전(신),두산,4.0,3.0,한화,1.0
05,13,화,18:30,포항,KT,3.0,5.0,삼성,-1.0
05,14,수,18:30,잠실,키움,0.0,12.0,LG,-1.0
05,14,수,18:30,문학,NC,6.0,3.0,SSG,1.0
05,14,수,18:30,광주,롯데,4.0,0.0,KIA,1.0
05,14,수,18:30,대전(신),두산,7.0,1.0,한화,1.0
05,14,수,18:30,포항,KT,3.0,2.0,삼성,1.0
05,15,목,18:30,잠실,키움,2.0,6.0,LG,-1.0
05,15,목,18:30,문학,NC,0.0,4.0,SSG,-1.0
05,15,목,18:30,광주,롯데,6.0,7.0,KIA,-1.0
05,15,목,18:30,대전(신),두산,8.0,2.0,한화,1.0
05,15,목,18:30,포항,KT,0.0,13.0,삼성,-1.0
05,17,토,14:00,잠실,KT,12.0,4.0,LG,1.0
05,17,토,14:00,사직,삼성,5.0,7.0,롯데,-1.0
05,17,토,14:00,광주,두산,2.0,5.0,KIA,-1.0
05,17,토,14:00,대전(신),SSG,0.0,1.0,한화,-1.0
05,17,토,14:00,울산,키움,2.0,3.0,NC,-1.0
05,17,토,17:00,잠실,KT,7.0,6.0,LG,1.0
05,17,토,17:00,사직,삼성,7.0,8.0,롯데,-1.0
05,17,토,17:00,광주,두산,1.0,4.0,KIA,-1.0
05,17,토,17:00,대전(신),SSG,5.0,2.0,한화,1.0
05,17,토,17:00,울산,키움,3.0,2.0,NC,1.0
05,18,일,14:00,잠실,KT,1.0,5.0,LG,-1.0
05,18,일,14:00,사직,삼성,3.0,6.0,롯데,-1.0
05,18,일,14:00,광주,두산,4.0,5.0,KIA,-1.0
05,18,일,14:00,대전(신),SSG,7.0,3.0,한화,1.0
05,18,일,14:00,울산,키움,0.0,5.0,NC,-1.0
05,20,화,18:30,잠실,SSG,5.0,3.0,두산,1.0
05,20,화,18:30,사직,LG,17.0,9.0,롯데,1.0
05,20,화,18:30,수원,KIA,3.0,5.0,KT,-1.0
05,20,화,18:30,고척,삼성,6.0,3.0,키움,1.0
05,20,화,18:30,울산,한화,4.0,1.0,NC,1.0
05,21,수,18:30,잠실,SSG,9.0,1.0,두산,1.0
05,21,수,18:30,사직,LG,7.0,7.0,롯데,0.0
05,21,수,18:30,수원,KIA,1.0,3.0,KT,-1.0
05,21,수,18:30,고척,삼성,6.0,1.0,키움,1.0
05,21,수,18:30,울산,한화,2.0,5.0,NC,-1.0
05,22,목,18:30,잠실,SSG,5.0,6.0,두산,-1.0
05,22,목,18:30,사직,LG,4.0,11.0,롯데,-1.0
05,22,목,18:30,수원,KIA,8.0,3.0,KT,1.0
05,22,목,18:30,고척,삼성,2.0,0.0,키움,1.0
05,22,목,18:30,울산,한화,3.0,4.0,NC,-1.0
05,23,금,18:30,잠실,NC,1.0,1.0,두산,0.0
05,23,금,18:30,문학,LG,3.0,2.0,SSG,1.0
05,23,금,18:30,대구,KIA,7.0,6.0,삼성,1.0
05,23,금,18:30,고척,KT,7.0,5.0,키움,1.0
05,23,금,18:30,대전(신),롯데,2.0,4.0,한화,-1.0
05,24,토,14:00,고척,KT,10.0,4.0,키움,1.0
05,24,토,14:00,대전(신),롯데,8.0,6.0,한화,1.0
05,24,토,17:00,잠실,NC,5.0,1.0,두산,1.0
05,24,토,17:00,문학,LG,4.0,5.0,SSG,-1.0
05,24,토,17:00,대구,KIA,4.0,8.0,삼성,-1.0
05,25,일,14:00,잠실,NC,3.0,5.0,두산,-1.0
05,25,일,14:00,문학,LG,9.0,3.0,SSG,1.0
05,25,일,14:00,대구,KIA,2.0,3.0,삼성,-1.0
05,25,일,14:00,고척,KT,2.0,0.0,키움,1.0
05,25,일,14:00,대전(신),롯데,7.0,8.0,한화,-1.0
05,27,화,18:30,잠실,한화,1.0,2.0,LG,-1.0
05,27,화,18:30,문학,NC,1.0,1.0,SSG,0.0
05,27,화,18:30,대구,롯데,3.0,7.0,삼성,-1.0
05,27,화,18:30,수원,두산,1.0,2.0,KT,-1.0
05,27,화,18:30,광주,키움,5.0,7.0,KIA,-1.0
05,28,수,18:30,잠실,한화,6.0,5.0,LG,1.0
05,28,수,18:30,문학,NC,5.0,13.0,SSG,-1.0
05,28,수,18:30,수원,두산,12.0,3.0,KT,1.0
05,28,수,18:30,광주,키움,7.0,13.0,KIA,-1.0
05,29,목,18:30,잠실,한화,1.0,3.0,LG,-1.0
05,29,목,18:30,문학,NC,5.0,6.0,SSG,-1.0
05,29,목,18:30,대구,롯데,3.0,9.0,삼성,-1.0
05,29,목,18:30,수원,두산,2.0,12.0,KT,-1.0
05,29,목,18:30,광주,키움,3.0,3.0,KIA,0.0
05,30,금,18:30,잠실,삼성,4.0,3.0,LG,1.0
05,30,금,18:30,사직,SSG,5.0,6.0,롯데,-1.0
05,30,금,18:30,창원,한화,7.0,1.0,NC,1.0
05,30,금,18:30,수원,KIA,1.0,3.0,KT,-1.0
05,30,금,18:30,고척,두산,9.0,4.0,키움,1.0
05,31,토,14:00,창원,한화,9.0,6.0,NC,1.0
05,31,토,14:00,수원,KIA,1.0,5.0,KT,-1.0
05,31,토,17:00,잠실,삼성,4.0,2.0,LG,1.0
05,31,토,17:00,사직,SSG,4.0,1.0,롯데,1.0
05,31,토,17:00,고척,두산,0.0,1.0,키움,-1.0
06,01,일,14:00,고척,두산,0.0,1.0,키움,-1.0
06,01,일,17:00,잠실,삼성,6.0,4.0,LG,1.0
06,01,일,17:00,사직,SSG,4.0,3.0,롯데,1.0
06,01,일,17:00,창원,한화,5.0,16.0,NC,-1.0
06,01,일,17:00,수원,KIA,5.0,3.0,KT,1.0
06,03,화,14:00,창원,LG,15.0,0.0,NC,1.0
06,03,화,14:00,대전(신),KT,1.0,10.0,한화,-1.0
06,03,화,17:00,잠실,KIA,11.0,3.0,두산,1.0
06,03,화,17:00,문학,삼성,4.0,6.0,SSG,-1.0
06,03,화,17:00,사직,키움,0.0,8.0,롯데,-1.0
06,04,수,18:30,잠실,KIA,8.0,3.0,두산,1.0
06,04,수,18:30,문학,삼성,1.0,4.0,SSG,-1.0
06,04,수,18:30,사직,키움,9.0,6.0,롯데,1.0
06,04,수,18:30,창원,LG,5.0,6.0,NC,-1.0
06,04,수,18:30,대전(신),KT,3.0,4.0,한화,-1.0
06,05,목,18:30,잠실,KIA,1.0,2.0,두산,-1.0
06,05,목,18:30,문학,삼성,3.0,1.0,SSG,1.0
06,05,목,18:30,사직,키움,10.0,5.0,롯데,1.0
06,05,목,18:30,창원,LG,3.0,1.0,NC,1.0
06,05,목,18:30,대전(신),KT,7.0,0.0,한화,1.0
06,06,금,17:00,잠실,롯데,2.0,5.0,두산,-1.0
06,06,금,17:00,대구,NC,3.0,7.0,삼성,-1.0
06,06,금,17:00,수원,SSG,3.0,10.0,KT,-1.0
06,06,금,17:00,광주,한화,2.0,3.0,KIA,-1.0
06,06,금,17:00,고척,LG,1.0,2.0,키움,-1.0
06,07,토,17:00,잠실,롯데,9.0,4.0,두산,1.0
06,07,토,17:00,대구,NC,11.0,7.0,삼성,1.0
06,07,토,17:00,수원,SSG,2.0,3.0,KT,-1.0
06,07,토,17:00,광주,한화,3.0,2.0,KIA,1.0
06,07,토,17:00,고척,LG,1.0,4.0,키움,-1.0
06,08,일,14:00,고척,LG,7.0,2.0,키움,1.0
06,08,일,17:00,잠실,롯데,4.0,2.0,두산,1.0
06,08,일,17:00,대구,NC,0.0,1.0,삼성,-1.0
06,08,일,17:00,수원,SSG,3.0,2.0,KT,1.0
06,08,일,17:00,광주,한화,6.0,7.0,KIA,-1.0
06,10,화,18:30,잠실,SSG,6.0,2.0,LG,1.0
06,10,화,18:30,수원,롯데,3.0,12.0,KT,-1.0
06,10,화,18:30,광주,삼성,8.0,0.0,KIA,1.0
06,10,화,18:30,고척,NC,2.0,2.0,키움,0.0
06,10,화,18:30,대전(신),두산,2.0,6.0,한화,-1.0
06,11,수,18:30,잠실,SSG,4.0,6.0,LG,-1.0
06,11,수,18:30,수원,롯데,4.0,3.0,KT,1.0
06,11,수,18:30,광주,삼성,3.0,6.0,KIA,-1.0
06,11,수,18:30,고척,NC,7.0,1.0,키움,1.0
06,11,수,18:30,대전(신),두산,1.0,9.0,한화,-1.0
06,12,목,18:30,잠실,SSG,6.0,8.0,LG,-1.0
06,12,목,18:30,수원,롯데,12.0,7.0,KT,1.0
06,12,목,18:30,광주,삼성,2.0,1.0,KIA,1.0
06,12,목,18:30,고척,NC,8.0,6.0,키움,1.0
06,12,목,18:30,대전(신),두산,2.0,3.0,한화,-1.0
06,13,금,18:30,창원,KIA,1.0,4.0,NC,-1.0
06,14,토,17:00,잠실,키움,1.0,4.0,두산,-1.0
06,14,토,17:00,문학,롯데,4.0,2.0,SSG,1.0
06,14,토,17:00,대구,KT,10.0,3.0,삼성,1.0
06,14,토,17:00,창원,KIA,9.0,8.0,NC,1.0
06,14,토,17:00,대전(신),LG,2.0,2.0,한화,0.0
06,15,일,17:00,잠실,키움,2.0,3.0,두산,-1.0
06,15,일,17:00,문학,롯데,0.0,1.0,SSG,-1.0
06,15,일,17:00,대구,KT,16.0,4.0,삼성,1.0
06,15,일,17:00,창원,KIA,4.0,2.0,NC,1.0
06,15,일,17:00,대전(신),LG,5.0,10.0,한화,-1.0
